title,release,duration,genres
Beautiful Creatures,2013,124,Dramas
Beautiful Girls,1996,113,Comedies
Beautiful Sunday,2007,112,Crime Dramas
Beauty and the Beast,2014,113,Dramas
Beauty and the Beast (2017),2017,132,Children & Family Movies
Becoming Zlatan,2016,96,Biographical Documentaries
Bedeviled,2016,90,Creature Features
Bee Movie,2007,92,Adventures
Beethoven's Christmas Adventure,2011,90,Animal Tales
Before I Wake,2016,97,Horror Movies
Before We Go,2014,95,Dramas
Before the Flood,2016,97,Documentaries
Behind 'The Cove': The Quiet Japanese Speak Out,2015,105,Documentaries
Behind Closed Doors,2016,59,British Movies
Behind the Curtain: Todrick Hall,2017,100,Biographical Documentaries
Beiimaan Love,2016,115,Bollywood Movies
Being AP,2015,99,Biographical Documentaries
Being Charlie,2015,97,Dramas
Being Elmo: A Puppeteer's Journey,2011,76,Biographical Documentaries
Being George Clooney,2016,76,Documentaries
Being Napoleon,2018,88,Documentaries
Belgica,2016,127,Dramas
Belief: The Possession of Janet Moses,2015,90,Crime Documentaries
Believe,2016,120,Children & Family Movies
Below Her Mouth,2016,91,Canadian Movies
Beltracchi: The Art of Forgery,2014,98,Biographical Documentaries
Benji,1974,86,Adventures
Benji,2018,87,Adventures
Benji's Very Own Christmas Story,1978,25,Adventures
Benji: Off the Leash,2004,100,Adventures
Berlin Calling,2008,105,Dramas
Berlin Kaplani,2012,99,Boxing Movies
Berlin Syndrome,2017,116,Australian Movies
Berserk: The Golden Age Arc I - The Egg of the King,2012,77,Action & Adventure
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,92,Action & Adventure
Berserk: The Golden Age Arc III - The Advent,2013,107,Action & Adventure
Bert Kreischer: Secret Time,2018,57,Comedies
Best Worst Thing That Ever Could Have Happened,2016,97,Critically-acclaimed Movies
Best and Most Beautiful Things,2016,91,Biographical Documentaries
Best of Enemies,2015,88,Critically-acclaimed Movies
Betting on Zero,2017,104,Critically-acclaimed Movies
Between Us,2016,94,Dramas
Beverly Hills Chihuahua 2,2011,84,Animal Tales
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,89,Animal Tales
Bewafaa,2005,149,Bollywood Movies
Beware of Mr. Baker,2012,92,Biographical Documentaries
Beynelmilel,2006,102,20th Century Period Pieces
Beyond All Boundaries,2013,98,Documentaries
Beyond Bollywood,2013,54,Documentaries
Beyond JFK,1992,90,Crime Documentaries
Beyond Redemption,2015,89,Action & Adventure
Beyond Skyline,2017,107,Action & Adventure
